2025-12-25 03:39:13: Running on host: XSH-20240927AHO
2025-12-25 03:39:13: Simulation setup:
  Engine    : curator.simulate.engines.ase_md.MDEngine
  Model     : ['../example/train/ensemble/model_1/model_path', '../example/train/ensemble/model_2/model_path', '../example/train/ensemble/model_3/model_path']
  Init traj : ../test/LiFePO4.traj
  Systems   : 1 | single system
  Device    : cuda
  Engine params: timestep=0.5
  Callbacks   : curator.simulate.callbacks.calc.CalculatorAssign, curator.simulate.callbacks.thermo_uncertainty.ThermoWithUncertainty, curator.simulate.callbacks.early_stop.EarlyStop
2025-12-25 03:39:13: Seed with <1234>
Loaded single system: natoms=28, Fe:4, Li:4, O:16, P:4
2025-12-25 03:39:14: Calcator assigned to atoms.
           step           epot           ekin           etot       force_sd      energy_sd
uncertainty backend state: <curator.simulate.uncertainty.auto.AutoUncertainty object at 0x7ed6f7f0a780>
uncertainty snapshot: {'force_sd': 0.002815436339005828, 'energy_sd': 0.000623435596935451, 'is_warning': False, 'is_outlier': False}
             90     -183.12424        0.97908     -182.14516        0.02577        0.00547
             91     -183.19403        0.97689     -182.21714        0.02660        0.00556
             92     -183.25224        0.96272     -182.28952        0.02634        0.00580
             93     -183.25317        1.07010     -182.18307        0.02688        0.00349
             94     -183.32793        1.08236     -182.24557        0.02669        0.00398
             95     -183.29440        1.03278     -182.26162        0.02600        0.00835
             96     -183.22050        0.75322     -182.46728        0.02480        0.00663
             97     -183.20940        0.75217     -182.45723        0.02748        0.00740
             98     -183.28122        0.79208     -182.48914        0.02601        0.01167
             99     -183.29718        0.79455     -182.50263        0.02298        0.01074
            100     -183.33002        0.83952     -182.49049        0.02282        0.00748
            101     -183.38921        0.94707     -182.44214        0.02198        0.00564
Timing summary (s): load=0.0008, callbacks_start=0.7178, engine_setup=0.0002, attach=0.0000, simulate=4.0067, callbacks_end=0.0001, total=4.7261
