epoch,lr-AdamW/decay_params,lr-AdamW/input_modules,lr-AdamW/no_decay_params,lr-AdamW/output_modules,lr-AdamW/products,lr-AdamW/readout_mlp,step,train_energy_loss_step,train_energy_mae_step,train_energy_rmse_step,train_forces_loss_step,train_forces_mae_step,train_forces_rmse_step,train_total_loss_step
,0.005,0.005,0.005,0.005,0.005,0.005,0,,,,,,,
0,,,,,,,9,0.16525162756443024,0.472940057516098,0.5002841949462891,65.99716186523438,0.6261013746261597,0.9997742176055908,66.16241455078125
0,,,,,,,19,6.645941257476807,3.000231981277466,3.1726064682006836,96.47042083740234,0.7562710046768188,1.208749771118164,103.11636352539062
0,,,,,,,29,17.084177017211914,5.071722507476807,5.086697101593018,26.828861236572266,0.43828845024108887,0.6374416947364807,43.91304016113281
0,,,,,,,39,0.14003418385982513,0.3971923887729645,0.4605265259742737,29.0747127532959,0.45459768176078796,0.6635857820510864,29.214746475219727
0,,,,,,,49,0.0592380166053772,0.273406982421875,0.29952362179756165,19.750425338745117,0.40425488352775574,0.5469247102737427,19.809663772583008
0,,,,,,,59,1.7481348514556885,1.613867163658142,1.6271530389785767,18.784452438354492,0.3961518108844757,0.5333822965621948,20.5325870513916
0,,,,,,,69,0.03919181227684021,0.23118285834789276,0.24362830817699432,14.150540351867676,0.34469959139823914,0.4629411995410919,14.189732551574707
0,,,,,,,79,0.4214308261871338,0.6709686517715454,0.7989178895950317,16.217445373535156,0.3657871186733246,0.4955991506576538,16.63887596130371
0,,,,,,,89,0.13055740296840668,0.396697998046875,0.44468116760253906,11.623313903808594,0.314167857170105,0.41956987977027893,11.753870964050293
0,,,,,,,99,0.30175134539604187,0.6684204339981079,0.6760279536247253,6.297813892364502,0.23515045642852783,0.30884048342704773,6.599565029144287
0,,,,,,,109,0.1626497060060501,0.437844842672348,0.49631625413894653,14.122525215148926,0.32522091269493103,0.4624827206134796,14.285175323486328
0,,,,,,,119,0.03750293329358101,0.19909973442554474,0.23833437263965607,8.6856689453125,0.26068004965782166,0.36269447207450867,8.723172187805176
0,,,,,,,129,0.09187691658735275,0.2966766357421875,0.37303099036216736,7.967163562774658,0.264380544424057,0.34736910462379456,8.059040069580078
0,,,,,,,139,0.12284314632415771,0.38270872831344604,0.431330144405365,6.928092956542969,0.22097083926200867,0.32392629981040955,7.050936222076416
0,,,,,,,149,0.3417513072490692,0.7031463384628296,0.7194403409957886,5.587623119354248,0.21959935128688812,0.2909061312675476,5.9293742179870605
0,,,,,,,159,0.06490814685821533,0.292642205953598,0.3135381042957306,4.540260314941406,0.18436048924922943,0.2622283697128296,4.605168342590332
0,,,,,,,169,0.051868584007024765,0.2663330137729645,0.2802846133708954,4.054469108581543,0.1819249987602234,0.24780286848545074,4.106337547302246
0,,,,,,,179,0.04502708837389946,0.23719176650047302,0.26114386320114136,3.5149638652801514,0.17097072303295135,0.23072771728038788,3.559990882873535
0,,,,,,,189,0.13691218197345734,0.42477720975875854,0.4553627669811249,3.6557517051696777,0.16885298490524292,0.2353031188249588,3.792663812637329
0,,,,,,,199,0.049982327967882156,0.26448363065719604,0.2751375436782837,4.742816925048828,0.20123589038848877,0.26801401376724243,4.792799472808838
0,,,,,,,209,0.019687211140990257,0.14771118760108948,0.17267808318138123,4.046896934509277,0.17729899287223816,0.24757134914398193,4.06658411026001
0,,,,,,,219,0.06766314804553986,0.31953734159469604,0.3201206922531128,2.1104085445404053,0.12889215350151062,0.17878150939941406,2.1780717372894287
0,,,,,,,229,0.07784408330917358,0.33720093965530396,0.3433651328086853,3.5165390968322754,0.1750667691230774,0.23077942430973053,3.5943832397460938
