Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0052        -158.6028    -159.1345       0.5317   171.4
0.0053        -158.6016    -159.1310       0.5294   170.6
0.0054        -158.6020    -159.1282       0.5262   169.6
0.0055        -158.6009    -159.1244       0.5235   168.7
0.0056        -158.6020    -159.1211       0.5191   167.3
0.0057        -158.6017    -159.1177       0.5159   166.3
0.0058        -158.6017    -159.1144       0.5127   165.3
0.0059        -158.6016    -159.1112       0.5096   164.3
0.0060        -158.5998    -159.1078       0.5079   163.7
0.0061        -158.5993    -159.1044       0.5050   162.8
0.0062        -158.5994    -159.1012       0.5018   161.8
0.0063        -158.5991    -159.0978       0.4986   160.7
0.0064        -158.5979    -159.0946       0.4967   160.1
0.0065        -158.5979    -159.0912       0.4933   159.0
0.0066        -158.5968    -159.0881       0.4913   158.4
0.0067        -158.5974    -159.0847       0.4873   157.1
0.0068        -158.5962    -159.0815       0.4854   156.5
0.0069        -158.5963    -159.0783       0.4820   155.4
0.0070        -158.5963    -159.0752       0.4789   154.4
0.0071        -158.5966    -159.0719       0.4753   153.2
0.0072        -158.5943    -159.0688       0.4745   153.0
0.0073        -158.5951    -159.0656       0.4705   151.7
0.0074        -158.5955    -159.0627       0.4672   150.6
0.0075        -158.5955    -159.0595       0.4640   149.6
0.0076        -158.5958    -159.0566       0.4608   148.5
0.0077        -158.5950    -159.0536       0.4586   147.8
0.0078        -158.5922    -159.0507       0.4585   147.8
0.0079        -158.5927    -159.0478       0.4550   146.7
0.0080        -158.5923    -159.0451       0.4528   145.9
0.0081        -158.5907    -159.0421       0.4514   145.5
0.0082        -158.5897    -159.0396       0.4498   145.0
0.0083        -158.5903    -159.0367       0.4465   143.9
0.0084        -158.5913    -159.0341       0.4428   142.7
0.0085        -158.5899    -159.0315       0.4416   142.4
0.0086        -158.5886    -159.0291       0.4404   142.0
0.0087        -158.5885    -159.0266       0.4380   141.2
0.0088        -158.5893    -159.0241       0.4349   140.2
0.0089        -158.5888    -159.0222       0.4334   139.7
0.0090        -158.5885    -159.0195       0.4309   138.9
0.0091        -158.5884    -159.0173       0.4289   138.3
0.0092        -158.5882    -159.0151       0.4269   137.6
0.0093        -158.5883    -159.0130       0.4247   136.9
0.0094        -158.5869    -159.0109       0.4239   136.7
0.0095        -158.5863    -159.0089       0.4225   136.2
0.0096        -158.5868    -159.0069       0.4202   135.4
0.0097        -158.5897    -159.0050       0.4153   133.9
0.0098        -158.5895    -159.0031       0.4136   133.3
0.0099        -158.5868    -159.0016       0.4148   133.7
0.0100        -158.5862    -158.9996       0.4135   133.3
0.0101        -158.5863    -158.9979       0.4116   132.7
0.0102        -158.5858    -158.9963       0.4105   132.3
0.0103        -158.5843    -158.9947       0.4104   132.3
0.0104        -158.5850    -158.9932       0.4081   131.6
0.0105        -158.5823    -158.9917       0.4093   131.9
0.0106        -158.5831    -158.9903       0.4072   131.3
0.0107        -158.5836    -158.9889       0.4053   130.7
0.0108        -158.5841    -158.9877       0.4036   130.1
0.0109        -158.5844    -158.9864       0.4021   129.6
0.0110        -158.5830    -158.9852       0.4022   129.7
0.0111        -158.5827    -158.9845       0.4017   129.5
0.0112        -158.5835    -158.9830       0.3995   128.8
0.0113        -158.5820    -158.9820       0.4000   129.0
0.0114        -158.5820    -158.9810       0.3991   128.6
0.0115        -158.5819    -158.9802       0.3983   128.4
0.0116        -158.5806    -158.9793       0.3986   128.5
0.0117        -158.5794    -158.9785       0.3991   128.7
0.0118        -158.5795    -158.9778       0.3983   128.4
0.0119        -158.5793    -158.9771       0.3978   128.2
0.0120        -158.5782    -158.9764       0.3981   128.3
0.0121        -158.5808    -158.9758       0.3950   127.3
0.0122        -158.5817    -158.9752       0.3935   126.8
0.0123        -158.5824    -158.9749       0.3925   126.5
0.0124        -158.5819    -158.9743       0.3925   126.5
0.0125        -158.5802    -158.9738       0.3936   126.9
0.0126        -158.5804    -158.9734       0.3931   126.7
0.0127        -158.5789    -158.9731       0.3941   127.1
0.0128        -158.5776    -158.9728       0.3952   127.4
0.0129        -158.5785    -158.9725       0.3940   127.0
0.0130        -158.5785    -158.9722       0.3937   126.9
0.0131        -158.5801    -158.9721       0.3919   126.3
0.0132        -158.5801    -158.9718       0.3917   126.3
0.0133        -158.5813    -158.9722       0.3909   126.0
0.0134        -158.5820    -158.9714       0.3895   125.5
0.0135        -158.5826    -158.9712       0.3886   125.3
0.0136        -158.5818    -158.9711       0.3893   125.5
0.0137        -158.5816    -158.9710       0.3894   125.5
0.0138        -158.5825    -158.9709       0.3884   125.2
0.0139        -158.5811    -158.9709       0.3898   125.7
0.0140        -158.5819    -158.9708       0.3889   125.4
0.0141        -158.5823    -158.9708       0.3885   125.2
0.0142        -158.5808    -158.9709       0.3901   125.8
0.0143        -158.5814    -158.9708       0.3894   125.5
0.0144        -158.5818    -158.9707       0.3889   125.4
0.0145        -158.5838    -158.9707       0.3869   124.7
0.0146        -158.5854    -158.9707       0.3853   124.2
0.0147        -158.5866    -158.9707       0.3841   123.8
0.0148        -158.5872    -158.9707       0.3835   123.6
0.0149        -158.5890    -158.9707       0.3817   123.1
0.0150        -158.5891    -158.9709       0.3819   123.1
0.0151        -158.5885    -158.9706       0.3821   123.2
0.0152        -158.5876    -158.9705       0.3829   123.4
0.0153        -158.5866    -158.9706       0.3841   123.8
0.0154        -158.5849    -158.9704       0.3855   124.3
0.0155        -158.5870    -158.9703       0.3833   123.5
0.0156        -158.5864    -158.9702       0.3838   123.7
0.0157        -158.5867    -158.9702       0.3835   123.6
0.0158        -158.5885    -158.9701       0.3816   123.0
0.0159        -158.5906    -158.9698       0.3793   122.3
0.0160        -158.5904    -158.9698       0.3794   122.3
0.0161        -158.5911    -158.9696       0.3785   122.0
0.0162        -158.5924    -158.9697       0.3773   121.6
0.0163        -158.5922    -158.9692       0.3769   121.5
0.0164        -158.5921    -158.9691       0.3770   121.5
0.0165        -158.5923    -158.9687       0.3764   121.3
0.0166        -158.5935    -158.9688       0.3753   121.0
0.0167        -158.5928    -158.9682       0.3754   121.0
0.0168        -158.5937    -158.9679       0.3742   120.6
0.0169        -158.5927    -158.9675       0.3748   120.8
0.0170        -158.5921    -158.9672       0.3751   120.9
0.0171        -158.5929    -158.9669       0.3741   120.6
0.0172        -158.5925    -158.9664       0.3739   120.5
0.0173        -158.5929    -158.9659       0.3729   120.2
0.0174        -158.5924    -158.9655       0.3731   120.3
0.0175        -158.5940    -158.9649       0.3709   119.6
0.0176        -158.5927    -158.9644       0.3718   119.8
0.0177        -158.5917    -158.9639       0.3722   120.0
0.0178        -158.5906    -158.9634       0.3728   120.2
0.0179        -158.5892    -158.9627       0.3735   120.4
0.0180        -158.5908    -158.9619       0.3711   119.6
0.0181        -158.5899    -158.9613       0.3714   119.7
0.0182        -158.5900    -158.9604       0.3704   119.4
0.0183        -158.5906    -158.9597       0.3691   119.0
0.0184        -158.5902    -158.9588       0.3686   118.8
0.0185        -158.5891    -158.9579       0.3688   118.9
0.0186        -158.5881    -158.9571       0.3690   118.9
0.0187        -158.5877    -158.9561       0.3684   118.7
0.0188        -158.5882    -158.9551       0.3669   118.3
0.0189        -158.5865    -158.9540       0.3675   118.5
0.0190        -158.5861    -158.9530       0.3669   118.3
0.0191        -158.5864    -158.9518       0.3654   117.8
0.0192        -158.5864    -158.9507       0.3643   117.4
0.0193        -158.5863    -158.9494       0.3632   117.1
0.0194        -158.5876    -158.9482       0.3607   116.3
0.0195        -158.5879    -158.9469       0.3590   115.7
0.0196        -158.5880    -158.9458       0.3578   115.3
0.0197        -158.5875    -158.9442       0.3567   115.0
0.0198        -158.5879    -158.9428       0.3549   114.4
0.0199        -158.5885    -158.9414       0.3529   113.8
0.0200        -158.5885    -158.9401       0.3516   113.3
0.0201        -158.5892    -158.9383       0.3491   112.5
0.0202        -158.5883    -158.9370       0.3487   112.4
0.0203        -158.5877    -158.9351       0.3475   112.0
0.0204        -158.5879    -158.9340       0.3461   111.6
0.0205        -158.5871    -158.9320       0.3449   111.2
0.0206        -158.5875    -158.9302       0.3427   110.5
0.0207        -158.5885    -158.9286       0.3401   109.6
0.0208        -158.5885    -158.9267       0.3382   109.0
0.0209        -158.5885    -158.9249       0.3363   108.4
0.0210        -158.5880    -158.9231       0.3351   108.0
0.0211        -158.5880    -158.9211       0.3330   107.4
0.0212        -158.5881    -158.9195       0.3314   106.8
0.0213        -158.5869    -158.9173       0.3304   106.5
0.0214        -158.5868    -158.9156       0.3288   106.0
0.0215        -158.5868    -158.9134       0.3265   105.3
0.0216        -158.5867    -158.9116       0.3248   104.7
0.0217        -158.5873    -158.9093       0.3221   103.8
0.0218        -158.5882    -158.9074       0.3192   102.9
0.0219        -158.5892    -158.9053       0.3161   101.9
0.0220        -158.5899    -158.9032       0.3133   101.0
0.0221        -158.5912    -158.9012       0.3100    99.9
0.0222        -158.5926    -158.8992       0.3066    98.8
0.0223        -158.5928    -158.8967       0.3039    98.0
0.0224        -158.5924    -158.8949       0.3025    97.5
0.0225        -158.5901    -158.8924       0.3023    97.4
0.0226        -158.5933    -158.8906       0.2973    95.8
0.0227        -158.5922    -158.8880       0.2958    95.4
0.0228        -158.5909    -158.8858       0.2950    95.1
0.0229        -158.5911    -158.8836       0.2925    94.3
0.0230        -158.5897    -158.8814       0.2917    94.0
0.0231        -158.5875    -158.8792       0.2917    94.0
0.0232        -158.5888    -158.8772       0.2884    93.0
0.0233        -158.5892    -158.8746       0.2854    92.0
0.0234        -158.5878    -158.8724       0.2846    91.7
0.0235        -158.5859    -158.8701       0.2842    91.6
0.0236        -158.5873    -158.8685       0.2813    90.7
0.0237        -158.5868    -158.8657       0.2789    89.9
0.0238        -158.5865    -158.8641       0.2776    89.5
0.0239        -158.5875    -158.8614       0.2739    88.3
0.0240        -158.5879    -158.8593       0.2714    87.5
0.0241        -158.5891    -158.8571       0.2680    86.4
0.0242        -158.5874    -158.8550       0.2676    86.2
0.0243        -158.5872    -158.8529       0.2656    85.6
0.0244        -158.5882    -158.8508       0.2627    84.7
0.0245        -158.5887    -158.8488       0.2601    83.8
0.0246        -158.5885    -158.8468       0.2583    83.3
0.0247        -158.5880    -158.8448       0.2568    82.8
0.0248        -158.5874    -158.8429       0.2554    82.3
0.0249        -158.5861    -158.8409       0.2548    82.1
0.0250        -158.5873    -158.8390       0.2517    81.1
0.0251        -158.5890    -158.8371       0.2482    80.0
0.0252        -158.5879    -158.8354       0.2474    79.8
0.0253        -158.5870    -158.8334       0.2464    79.4
0.0254        -158.5871    -158.8317       0.2445    78.8
0.0255        -158.5871    -158.8298       0.2427    78.2
0.0256        -158.5857    -158.8282       0.2424    78.1
0.0257        -158.5852    -158.8264       0.2412    77.7
0.0258        -158.5857    -158.8248       0.2391    77.1
0.0259        -158.5857    -158.8232       0.2374    76.5
0.0260        -158.5855    -158.8217       0.2361    76.1
0.0261        -158.5874    -158.8201       0.2327    75.0
0.0262        -158.5878    -158.8188       0.2310    74.5
0.0263        -158.5877    -158.8173       0.2296    74.0
0.0264        -158.5878    -158.8158       0.2281    73.5
0.0265        -158.5881    -158.8151       0.2269    73.2
0.0266        -158.5879    -158.8134       0.2255    72.7
0.0267        -158.5887    -158.8120       0.2233    72.0
0.0268        -158.5894    -158.8110       0.2216    71.4
0.0269        -158.5889    -158.8097       0.2209    71.2
0.0270        -158.5880    -158.8088       0.2208    71.2
0.0271        -158.5879    -158.8077       0.2198    70.8
0.0272        -158.5881    -158.8067       0.2186    70.5
0.0273        -158.5873    -158.8058       0.2185    70.4
0.0274        -158.5877    -158.8056       0.2179    70.3
0.0275        -158.5869    -158.8041       0.2172    70.0
0.0276        -158.5878    -158.8035       0.2158    69.5
0.0277        -158.5877    -158.8027       0.2150    69.3
0.0278        -158.5871    -158.8022       0.2151    69.3
0.0279        -158.5877    -158.8015       0.2138    68.9
0.0280        -158.5880    -158.8010       0.2129    68.6
0.0281        -158.5874    -158.8005       0.2131    68.7
0.0282        -158.5858    -158.8001       0.2142    69.1
0.0283        -158.5863    -158.7998       0.2135    68.8
0.0284        -158.5878    -158.7995       0.2117    68.2
0.0285        -158.5870    -158.7996       0.2126    68.5
0.0286        -158.5879    -158.7992       0.2113    68.1
0.0287        -158.5886    -158.7990       0.2104    67.8
0.0288        -158.5890    -158.7990       0.2100    67.7
0.0289        -158.5880    -158.7990       0.2110    68.0
0.0290        -158.5876    -158.7992       0.2116    68.2
0.0291        -158.5879    -158.7997       0.2118    68.3
0.0292        -158.5864    -158.7996       0.2132    68.7
0.0293        -158.5862    -158.7999       0.2137    68.9
0.0294        -158.5856    -158.8004       0.2148    69.2
0.0295        -158.5848    -158.8006       0.2159    69.6
0.0296        -158.5855    -158.8011       0.2157    69.5
0.0297        -158.5857    -158.8015       0.2158    69.6
0.0298        -158.5864    -158.8022       0.2158    69.6
0.0299        -158.5850    -158.8027       0.2177    70.2
0.0300        -158.5855    -158.8036       0.2181    70.3
0.0301        -158.5869    -158.8041       0.2172    70.0
0.0302        -158.5869    -158.8056       0.2187    70.5
0.0303        -158.5853    -158.8057       0.2204    71.0
0.0304        -158.5844    -158.8065       0.2221    71.6
0.0305        -158.5851    -158.8073       0.2222    71.6
0.0306        -158.5847    -158.8083       0.2236    72.1
0.0307        -158.5851    -158.8092       0.2241    72.2
0.0308        -158.5837    -158.8103       0.2265    73.0
0.0309        -158.5837    -158.8112       0.2275    73.3
0.0310        -158.5834    -158.8124       0.2291    73.8
0.0311        -158.5834    -158.8134       0.2300    74.1
0.0312        -158.5829    -158.8149       0.2320    74.8
0.0313        -158.5820    -158.8158       0.2339    75.4
0.0314        -158.5829    -158.8170       0.2341    75.5
0.0315        -158.5819    -158.8181       0.2361    76.1
0.0316        -158.5812    -158.8195       0.2384    76.8
0.0317        -158.5823    -158.8206       0.2383    76.8
0.0318        -158.5834    -158.8219       0.2385    76.9
0.0319        -158.5827    -158.8233       0.2406    77.5
0.0320        -158.5832    -158.8246       0.2414    77.8
0.0321        -158.5835    -158.8260       0.2425    78.2
0.0322        -158.5839    -158.8276       0.2437    78.6
0.0323        -158.5838    -158.8290       0.2451    79.0
0.0324        -158.5825    -158.8304       0.2480    79.9
0.0325        -158.5813    -158.8314       0.2501    80.6
0.0326        -158.5798    -158.8329       0.2531    81.6
0.0327        -158.5792    -158.8344       0.2552    82.3
0.0328        -158.5803    -158.8359       0.2557    82.4
0.0329        -158.5802    -158.8371       0.2570    82.8
0.0330        -158.5801    -158.8386       0.2586    83.3
0.0331        -158.5802    -158.8400       0.2598    83.8
0.0332        -158.5822    -158.8415       0.2593    83.6
0.0333        -158.5825    -158.8428       0.2603    83.9
0.0334        -158.5819    -158.8443       0.2624    84.6
0.0335        -158.5820    -158.8457       0.2636    85.0
0.0336        -158.5816    -158.8471       0.2655    85.6
0.0337        -158.5824    -158.8485       0.2661    85.8
0.0338        -158.5824    -158.8499       0.2675    86.2
0.0339        -158.5833    -158.8512       0.2679    86.4
0.0340        -158.5820    -158.8526       0.2705    87.2
0.0341        -158.5809    -158.8538       0.2730    88.0
0.0342        -158.5813    -158.8552       0.2739    88.3
0.0343        -158.5813    -158.8564       0.2751    88.7
0.0344        -158.5829    -158.8577       0.2747    88.6
0.0345        -158.5823    -158.8589       0.2766    89.2
0.0346        -158.5823    -158.8601       0.2778    89.6
0.0347        -158.5826    -158.8613       0.2786    89.8
0.0348        -158.5808    -158.8627       0.2819    90.9
0.0349        -158.5809    -158.8635       0.2826    91.1
0.0350        -158.5810    -158.8649       0.2839    91.5
0.0351        -158.5803    -158.8656       0.2854    92.0
0.0352        -158.5812    -158.8671       0.2859    92.2
0.0353        -158.5806    -158.8677       0.2870    92.5
0.0354        -158.5812    -158.8686       0.2874    92.7
0.0355        -158.5801    -158.8694       0.2893    93.3
0.0356        -158.5798    -158.8703       0.2906    93.7
0.0357        -158.5793    -158.8711       0.2918    94.1
0.0358        -158.5791    -158.8721       0.2930    94.4
0.0359        -158.5793    -158.8727       0.2934    94.6
0.0360        -158.5788    -158.8734       0.2945    94.9
0.0361        -158.5779    -158.8739       0.2960    95.4
0.0362        -158.5777    -158.8747       0.2969    95.7
0.0363        -158.5770    -158.8751       0.2981    96.1
0.0364        -158.5759    -158.8758       0.2999    96.7
0.0365        -158.5760    -158.8762       0.3002    96.8
0.0366        -158.5753    -158.8767       0.3014    97.2
0.0367        -158.5745    -158.8771       0.3026    97.5
0.0368        -158.5739    -158.8775       0.3036    97.9
0.0369        -158.5739    -158.8778       0.3039    98.0
0.0370        -158.5731    -158.8781       0.3050    98.3
0.0371        -158.5721    -158.8782       0.3061    98.7
0.0372        -158.5731    -158.8785       0.3054    98.4
0.0373        -158.5728    -158.8785       0.3057    98.5
0.0374        -158.5726    -158.8787       0.3061    98.7
0.0375        -158.5707    -158.8785       0.3078    99.2
0.0376        -158.5708    -158.8787       0.3079    99.3
0.0377        -158.5701    -158.8784       0.3084    99.4
0.0378        -158.5693    -158.8785       0.3093    99.7
0.0379        -158.5704    -158.8782       0.3078    99.2
0.0380        -158.5704    -158.8781       0.3077    99.2
0.0381        -158.5720    -158.8779       0.3059    98.6
0.0382        -158.5711    -158.8775       0.3064    98.8
0.0383        -158.5699    -158.8772       0.3072    99.0
0.0384        -158.5700    -158.8769       0.3069    98.9
0.0385        -158.5706    -158.8766       0.3060    98.6
0.0386        -158.5694    -158.8760       0.3066    98.8
0.0387        -158.5721    -158.8754       0.3033    97.8
0.0388        -158.5727    -158.8750       0.3023    97.4
0.0389        -158.5738    -158.8744       0.3006    96.9
0.0390        -158.5726    -158.8738       0.3012    97.1
0.0391        -158.5743    -158.8731       0.2988    96.3
0.0392        -158.5747    -158.8725       0.2978    96.0
0.0393        -158.5745    -158.8717       0.2971    95.8
0.0394        -158.5742    -158.8710       0.2968    95.7
0.0395        -158.5746    -158.8701       0.2955    95.3
0.0396        -158.5757    -158.8694       0.2937    94.7
0.0397        -158.5760    -158.8684       0.2925    94.3
0.0398        -158.5753    -158.8676       0.2924    94.2
0.0399        -158.5733    -158.8666       0.2933    94.6
0.0400        -158.5734    -158.8658       0.2923    94.2
0.0401        -158.5745    -158.8646       0.2902    93.5
0.0402        -158.5731    -158.8638       0.2906    93.7
0.0403        -158.5719    -158.8625       0.2906    93.7
0.0404        -158.5719    -158.8616       0.2897    93.4
0.0405        -158.5727    -158.8604       0.2876    92.7
0.0406        -158.5738    -158.8592       0.2854    92.0
0.0407        -158.5741    -158.8580       0.2839    91.5
0.0408        -158.5715    -158.8569       0.2854    92.0
0.0409        -158.5720    -158.8556       0.2835    91.4
0.0410        -158.5730    -158.8544       0.2814    90.7
0.0411        -158.5730    -158.8531       0.2801    90.3
0.0412        -158.5748    -158.8518       0.2770    89.3
0.0413        -158.5726    -158.8505       0.2780    89.6
0.0414        -158.5713    -158.8492       0.2779    89.6
0.0415        -158.5715    -158.8479       0.2764    89.1
0.0416        -158.5698    -158.8467       0.2769    89.3
0.0417        -158.5702    -158.8452       0.2749    88.6
0.0418        -158.5689    -158.8439       0.2750    88.6
0.0419        -158.5691    -158.8425       0.2733    88.1
0.0420        -158.5688    -158.8412       0.2724    87.8
0.0421        -158.5703    -158.8397       0.2694    86.9
0.0422        -158.5696    -158.8385       0.2689    86.7
0.0423        -158.5702    -158.8370       0.2667    86.0
0.0424        -158.5694    -158.8358       0.2664    85.9
0.0425        -158.5693    -158.8343       0.2650    85.4
0.0426        -158.5671    -158.8332       0.2660    85.8
0.0427        -158.5674    -158.8316       0.2643    85.2
0.0428        -158.5670    -158.8303       0.2633    84.9
0.0429        -158.5654    -158.8289       0.2635    84.9
0.0430        -158.5660    -158.8276       0.2617    84.3
0.0431        -158.5668    -158.8262       0.2595    83.6
0.0432        -158.5677    -158.8251       0.2574    83.0
0.0433        -158.5669    -158.8237       0.2568    82.8
0.0434        -158.5685    -158.8226       0.2541    81.9
0.0435        -158.5678    -158.8212       0.2534    81.7
0.0436        -158.5685    -158.8202       0.2517    81.1
0.0437        -158.5669    -158.8189       0.2520    81.2
0.0438        -158.5655    -158.8179       0.2524    81.4
0.0439        -158.5654    -158.8166       0.2512    81.0
0.0440        -158.5657    -158.8157       0.2499    80.6
0.0441        -158.5663    -158.8145       0.2481    80.0
0.0442        -158.5659    -158.8135       0.2476    79.8
0.0443        -158.5656    -158.8125       0.2469    79.6
0.0444        -158.5656    -158.8114       0.2458    79.2
0.0445        -158.5647    -158.8104       0.2457    79.2
0.0446        -158.5643    -158.8097       0.2453    79.1
0.0447        -158.5650    -158.8087       0.2437    78.6
0.0448        -158.5640    -158.8078       0.2439    78.6
0.0449        -158.5636    -158.8069       0.2432    78.4
0.0450        -158.5636    -158.8061       0.2426    78.2
0.0451        -158.5639    -158.8053       0.2414    77.8
0.0452        -158.5637    -158.8047       0.2409    77.7
0.0453        -158.5627    -158.8039       0.2411    77.7
0.0454        -158.5623    -158.8033       0.2410    77.7
0.0455        -158.5600    -158.8025       0.2425    78.2
0.0456        -158.5607    -158.8020       0.2413    77.8
0.0457        -158.5615    -158.8014       0.2398    77.3
0.0458        -158.5618    -158.8010       0.2392    77.1
0.0459        -158.5626    -158.8004       0.2379    76.7
0.0460        -158.5628    -158.8001       0.2373    76.5
0.0461        -158.5621    -158.7997       0.2376    76.6
0.0462        -158.5613    -158.7993       0.2380    76.7
0.0463        -158.5611    -158.7991       0.2380    76.7
0.0464        -158.5602    -158.7986       0.2385    76.9
0.0465        -158.5610    -158.7985       0.2375    76.6
0.0466        -158.5619    -158.7987       0.2368    76.3
0.0467        -158.5604    -158.7982       0.2379    76.7
0.0468        -158.5617    -158.7982       0.2365    76.2
0.0469        -158.5624    -158.7983       0.2359    76.0
0.0470        -158.5622    -158.7982       0.2360    76.1
0.0471        -158.5618    -158.7983       0.2365    76.2
0.0472        -158.5611    -158.7985       0.2373    76.5
0.0473        -158.5616    -158.7986       0.2370    76.4
0.0474        -158.5619    -158.7989       0.2369    76.4
0.0475        -158.5632    -158.7991       0.2360    76.1
0.0476        -158.5627    -158.7995       0.2368    76.3
0.0477        -158.5612    -158.7998       0.2387    76.9
0.0478        -158.5610    -158.8002       0.2392    77.1
0.0479        -158.5611    -158.8007       0.2395    77.2
0.0480        -158.5613    -158.8012       0.2399    77.3
0.0481        -158.5620    -158.8017       0.2397    77.3
0.0482        -158.5621    -158.8024       0.2403    77.4
0.0483        -158.5614    -158.8030       0.2416    77.9
0.0484        -158.5606    -158.8038       0.2432    78.4
0.0485        -158.5594    -158.8045       0.2451    79.0
0.0486        -158.5608    -158.8055       0.2447    78.9
0.0487        -158.5614    -158.8062       0.2448    78.9
0.0488        -158.5613    -158.8072       0.2459    79.3
0.0489        -158.5616    -158.8082       0.2466    79.5
0.0490        -158.5608    -158.8091       0.2483    80.0
0.0491        -158.5609    -158.8104       0.2494    80.4
0.0492        -158.5608    -158.8114       0.2506    80.8
0.0493        -158.5611    -158.8125       0.2514    81.0
0.0494        -158.5617    -158.8145       0.2528    81.5
0.0495        -158.5619    -158.8148       0.2529    81.5
0.0496        -158.5637    -158.8161       0.2525    81.4
0.0497        -158.5628    -158.8173       0.2545    82.1
0.0498        -158.5639    -158.8187       0.2548    82.1
0.0499        -158.5628    -158.8200       0.2572    82.9
0.0500        -158.5623    -158.8217       0.2594    83.6
0.0501        -158.5610    -158.8228       0.2618    84.4
0.0502        -158.5626    -158.8244       0.2619    84.4
0.0503        -158.5626    -158.8257       0.2631    84.8
0.0504        -158.5632    -158.8273       0.2641    85.1
0.0505        -158.5626    -158.8288       0.2663    85.8
0.0506        -158.5631    -158.8306       0.2675    86.2
0.0507        -158.5634    -158.8319       0.2685    86.6
0.0508        -158.5633    -158.8336       0.2703    87.1
0.0509        -158.5637    -158.8352       0.2715    87.5
0.0510        -158.5652    -158.8370       0.2718    87.6
0.0511        -158.5635    -158.8387       0.2752    88.7
0.0512        -158.5623    -158.8403       0.2780    89.6
0.0513        -158.5630    -158.8421       0.2791    90.0
0.0514        -158.5629    -158.8439       0.2809    90.6
0.0515        -158.5619    -158.8456       0.2838    91.5
0.0516        -158.5616    -158.8477       0.2860    92.2
0.0517        -158.5622    -158.8493       0.2871    92.6
0.0518        -158.5618    -158.8512       0.2894    93.3
0.0519        -158.5617    -158.8531       0.2914    93.9
0.0520        -158.5618    -158.8549       0.2931    94.5
0.0521        -158.5627    -158.8568       0.2941    94.8
0.0522        -158.5625    -158.8590       0.2965    95.6
0.0523        -158.5631    -158.8605       0.2974    95.9
0.0524        -158.5636    -158.8624       0.2989    96.3
0.0525        -158.5623    -158.8641       0.3018    97.3
0.0526        -158.5634    -158.8661       0.3027    97.6
0.0527        -158.5620    -158.8679       0.3059    98.6
0.0528        -158.5624    -158.8699       0.3075    99.1
0.0529        -158.5610    -158.8715       0.3105   100.1
0.0530        -158.5621    -158.8735       0.3113   100.4
0.0531        -158.5627    -158.8752       0.3125   100.7
0.0532        -158.5610    -158.8771       0.3161   101.9
0.0533        -158.5610    -158.8788       0.3177   102.4
0.0534        -158.5601    -158.8807       0.3205   103.3
