Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -158.5280    -159.2290       0.7009   225.9
0.0001        -158.5851    -159.2329       0.6478   208.8
0.0002        -158.5889    -159.2351       0.6463   208.3
0.0003        -158.5939    -159.2366       0.6427   207.2
0.0004        -158.5982    -159.2372       0.6389   206.0
0.0005        -158.5988    -159.2375       0.6387   205.9
0.0006        -158.6021    -159.2375       0.6354   204.8
0.0007        -158.6003    -159.2372       0.6368   205.3
0.0008        -158.6000    -159.2367       0.6367   205.2
0.0009        -158.6009    -159.2361       0.6352   204.7
0.0010        -158.5997    -159.2353       0.6356   204.9
0.0011        -158.5984    -159.2344       0.6360   205.0
0.0012        -158.5985    -159.2334       0.6349   204.7
0.0013        -158.6000    -159.2324       0.6323   203.8
0.0014        -158.6010    -159.2312       0.6301   203.1
0.0015        -158.6009    -159.2299       0.6291   202.8
0.0016        -158.5990    -159.2286       0.6296   202.9
0.0017        -158.5985    -159.2270       0.6285   202.6
0.0018        -158.5979    -159.2255       0.6275   202.3
0.0019        -158.5968    -159.2238       0.6269   202.1
0.0020        -158.5973    -159.2221       0.6248   201.4
0.0021        -158.5996    -159.2202       0.6206   200.1
0.0022        -158.6016    -159.2185       0.6169   198.8
0.0023        -158.5989    -159.2164       0.6175   199.0
0.0024        -158.6020    -159.2149       0.6128   197.5
0.0025        -158.6023    -159.2125       0.6101   196.7
0.0026        -158.6012    -159.2100       0.6088   196.2
0.0027        -158.6003    -159.2077       0.6074   195.8
0.0028        -158.6002    -159.2055       0.6052   195.1
0.0029        -158.5999    -159.2030       0.6032   194.4
0.0030        -158.5989    -159.2006       0.6017   194.0
0.0031        -158.5993    -159.1982       0.5988   193.0
0.0032        -158.5979    -159.1958       0.5978   192.7
0.0033        -158.5975    -159.1928       0.5953   191.9
0.0034        -158.5983    -159.1902       0.5919   190.8
0.0035        -158.5968    -159.1873       0.5905   190.4
0.0036        -158.5975    -159.1847       0.5873   189.3
0.0037        -158.5990    -159.1816       0.5826   187.8
0.0038        -158.5984    -159.1791       0.5808   187.2
0.0039        -158.6009    -159.1758       0.5749   185.3
0.0040        -158.6027    -159.1728       0.5701   183.8
0.0041        -158.6022    -159.1698       0.5676   182.9
0.0042        -158.6013    -159.1669       0.5656   182.3
0.0043        -158.5980    -159.1636       0.5656   182.3
0.0044        -158.5991    -159.1604       0.5614   181.0
0.0045        -158.5983    -159.1573       0.5589   180.2
0.0046        -158.5973    -159.1541       0.5567   179.5
0.0047        -158.5979    -159.1508       0.5529   178.2
0.0048        -158.5977    -159.1476       0.5499   177.3
0.0049        -158.6010    -159.1442       0.5432   175.1
0.0050        -158.6036    -159.1411       0.5375   173.2
0.0051        -158.6046    -159.1376       0.5331   171.8
