Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -183.3020    -184.1474       0.8454   233.6
0.0001        -183.3197    -184.1407       0.8210   226.8
0.0002        -183.3180    -184.1405       0.8225   227.2
0.0003        -183.3177    -184.1400       0.8224   227.2
0.0004        -183.3170    -184.1393       0.8224   227.2
0.0005        -183.3128    -184.1386       0.8258   228.2
0.0006        -183.3117    -184.1375       0.8258   228.2
0.0007        -183.3123    -184.1364       0.8241   227.7
0.0008        -183.3101    -184.1350       0.8249   227.9
0.0009        -183.3108    -184.1335       0.8227   227.3
0.0010        -183.3109    -184.1318       0.8209   226.8
0.0011        -183.3120    -184.1299       0.8179   226.0
0.0012        -183.3095    -184.1279       0.8184   226.1
0.0013        -183.3109    -184.1257       0.8148   225.1
0.0014        -183.3113    -184.1233       0.8121   224.4
0.0015        -183.3123    -184.1208       0.8085   223.4
0.0016        -183.3096    -184.1181       0.8085   223.4
0.0017        -183.3107    -184.1153       0.8046   222.3
0.0018        -183.3124    -184.1123       0.8000   221.0
0.0019        -183.3128    -184.1092       0.7964   220.0
0.0020        -183.3088    -184.1059       0.7970   220.2
0.0021        -183.3109    -184.1025       0.7916   218.7
0.0022        -183.3089    -184.0989       0.7899   218.3
0.0023        -183.3117    -184.0951       0.7834   216.5
0.0024        -183.3106    -184.0912       0.7807   215.7
0.0025        -183.3101    -184.0872       0.7771   214.7
0.0026        -183.3123    -184.0831       0.7707   212.9
0.0027        -183.3130    -184.0788       0.7658   211.6
0.0028        -183.3131    -184.0744       0.7613   210.3
0.0029        -183.3138    -184.0700       0.7562   208.9
0.0030        -183.3155    -184.0654       0.7499   207.2
0.0031        -183.3152    -184.0607       0.7455   206.0
0.0032        -183.3155    -184.0559       0.7404   204.6
0.0033        -183.3139    -184.0510       0.7372   203.7
0.0034        -183.3133    -184.0461       0.7328   202.5
0.0035        -183.3124    -184.0410       0.7286   201.3
0.0036        -183.3125    -184.0359       0.7234   199.9
0.0037        -183.3093    -184.0306       0.7213   199.3
0.0038        -183.3117    -184.0253       0.7137   197.2
0.0039        -183.3082    -184.0200       0.7118   196.7
0.0040        -183.3073    -184.0145       0.7072   195.4
0.0041        -183.3056    -184.0091       0.7035   194.4
0.0042        -183.3061    -184.0035       0.6974   192.7
0.0043        -183.3074    -183.9979       0.6906   190.8
0.0044        -183.3088    -183.9923       0.6835   188.9
0.0045        -183.3086    -183.9867       0.6781   187.3
0.0046        -183.3093    -183.9810       0.6717   185.6
0.0047        -183.3074    -183.9753       0.6679   184.5
0.0048        -183.3065    -183.9696       0.6631   183.2
0.0049        -183.3061    -183.9639       0.6578   181.8
0.0050        -183.3036    -183.9581       0.6546   180.9
